Request URL,title,publisher,date
http://www.rookiestew.com/famous-unknown-indian-faces-indubitably-deserve-mention/,9 Most Famous But Unknown Indian Faces Who Most Indubitably Deserve A Mention,Post By: RS Staff,"Feb 14, 2015"
http://www.rookiestew.com/a-cute-guy-tries-his-best-on-finding-himself-a-valentine-but-fails-because-she-was-killed/,A Cute Guy Tries His Best On Finding Himself A Valentine But Fails As She Was Killed,Post By – RS Staff,"Feb 14, 2015"
http://www.rookiestew.com/interesting-facts-about-nutty-india-pakistan-world-cup-clashes-right/,9 Interesting Facts About The Nutty India-Pakistan World Cup Clashes You Need To Know Right Now,Post By: RS Staff,"Feb 14, 2015"
http://www.rookiestew.com/delhi-guy-gives-befitting-response-viral-rapepublic-video/,This Delhi Guy Gives A Befitting Response To The Viral RapePublic Day Video,Post By: RS Staff,"Feb 13, 2015"
http://www.rookiestew.com/guys-went-out-streets-valentine-day-were-married-blink/,These Guys Went Out On The Streets On Valentine Day And Were Married Off In A Blink,Post By: RS Staff,"Feb 13, 2015"
http://www.rookiestew.com/most-gruesome-acts-parents-leave-completely-appalled/,These Most Gruesome Acts By The Parents Will Leave You Completely Appalled,Post By: RS Staff,"Feb 13, 2015"
http://www.rookiestew.com/hilarious-movie-clip-pretty-explains-politicians-ban-valentines-day/,This Hilarious Movie Clip Pretty Much Explains Why Politicians Want To Ban Valentines Day,Post By: RS Staff,"Feb 12, 2015"
http://www.rookiestew.com/9-creepy-facts-leave-disgusted-live-life-tranquility/,These 9 Creepy Facts Will Leave You Too Disgusted To Live Your Life In Tranquility,Post By: RS Staff,"Feb 12, 2015"
http://www.rookiestew.com/this-guy-turns-a-gel-bar-into-a-valentine-gift-thatd-melt-your-heart-pun-intended/,This Guy Turns A Gel Bar Into A Valentine Gift Thatd Melt Your Heart. Pun Intended,,"Feb 12, 2015"
http://www.rookiestew.com/infamous-gb-road-image-makeover-sunshine-rainbows-alive/,The Infamous GB Road Gets An Image Makeover; Sunshine And Rainbows Come Alive,Post By: RS Staff,"Feb 12, 2015"
http://www.rookiestew.com/love-ballad-only-thing-need-destroy-valentines-day/,This Love Ballad Is The Only Thing You Need To Destroy Your Valentines Day,Post By: RS Staff,"Feb 11, 2015"
http://www.rookiestew.com/this-video-shall-help-you-analyze-what-kind-of-chtya-you-are/,This Video Shall Help You Analyze What Kind Of Ch*t*ya You Are,Post By – R.S. Staff,"Feb 11, 2015"
http://www.rookiestew.com/13-memes-recent-delhi-elections-totally-up/,These 14 Memes Around The Recent Delhi Elections Will Totally Crack You Up,Post By: RS Staff,"Feb 11, 2015"
http://www.rookiestew.com/cockington-wetwang-britains-towns-worlds-rudest-names/,From Cockington to WetWang: 12 Great Britains Towns With The Worlds Rudest Names,Post By: RS Staff,"Feb 11, 2015"
http://www.rookiestew.com/surprising-facts-bengaluru-should-know/,10 Surprising Facts About Bengaluru That You Should Know,Post By: RS Staff,"Feb 10, 2015"
http://www.rookiestew.com/tweets-aap-whos-who-delhi-following-win/,9 Tweets To AAP From the Whos Who Of Delhi Following Their Win ,Post By: RS Staff,"Feb 10, 2015"
http://www.rookiestew.com/arvind-kejriwal-schools-the-host-in-the-new-episode-of-barely-speaking-with-arnub/,Arvind Kejriwal Schools The Host In The New Episode Of Barely Speaking With Arnub,Post By : RS Staff,"Feb 10, 2015"
http://www.rookiestew.com/video-things-india-should-find-offensive-aib-roast-raise-serious-questions-about-indian-democracy/,This Video About Things India Should Find More Offensive Than AIB Roast Raise Some Serious Questions About Indian Democracy,Post By: RS Staff,"Feb 9, 2015"
